Unnamed: 0,label_x,url,brand,name,skin_type,price,concern,cs,label_y,img
458,cleanser,https://www.sephora.com/product/dr-barbara-sturm-darker-skin-tones-enzyme-cleanser-P448546?skuId=2270189&icid2=products%20grid:p448546:product,dr. barbara sturm,darker skin tones enzyme cleanser,oily,$80.00 ,"pores, dryness,blemishes,",0.2357022603955159,Cleanser,https://www.sephora.com/productimages/sku/s2270189-main-zoom.jpg?imwidth=175
459,cleanser,https://www.sephora.com/product/clinique-take-day-off-charcoal-cleansing-balm-makeup-remover-P503747?skuId=2641884&icid2=products%20grid:p503747:product,clinique,take the day off™ charcoal cleansing balm makeup remover,combination,$41.00 ,"oiliness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2641884-main-zoom.jpg?imwidth=175
459,cleanser,https://www.sephora.com/product/clinique-take-day-off-charcoal-cleansing-balm-makeup-remover-P503747?skuId=2641884&icid2=products%20grid:p503747:product,clinique,take the day off™ charcoal cleansing balm makeup remover,oily,$41.00 ,"oiliness,,,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2641884-main-zoom.jpg?imwidth=175
460,cleanser,https://www.sephora.com/product/jack-black-acne-remedy-balancing-foam-cleanser-P472470?skuId=2456184&icid2=products%20grid:p472470:product,jack black,acne remedy balancing foam cleanser,normal,$25.00 ,"acne,blemishes,,,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2456184-main-zoom.jpg?imwidth=175
460,cleanser,https://www.sephora.com/product/jack-black-acne-remedy-balancing-foam-cleanser-P472470?skuId=2456184&icid2=products%20grid:p472470:product,jack black,acne remedy balancing foam cleanser,dry,$25.00 ,"acne,blemishes,,,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2456184-main-zoom.jpg?imwidth=175
460,cleanser,https://www.sephora.com/product/jack-black-acne-remedy-balancing-foam-cleanser-P472470?skuId=2456184&icid2=products%20grid:p472470:product,jack black,acne remedy balancing foam cleanser,combination,$25.00 ,"acne,blemishes,,,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2456184-main-zoom.jpg?imwidth=175
460,cleanser,https://www.sephora.com/product/jack-black-acne-remedy-balancing-foam-cleanser-P472470?skuId=2456184&icid2=products%20grid:p472470:product,jack black,acne remedy balancing foam cleanser,oily,$25.00 ,"acne,blemishes,,,",0.0,Cleanser,https://www.sephora.com/productimages/sku/s2456184-main-zoom.jpg?imwidth=175
461,cleanser,https://www.sephora.com/product/the-inkey-list-fulvic-acid-cleanser-P468707?skuId=2522910&icid2=products%20grid:p468707:product,the inkey list,fulvic acid brightening cleanser,normal,$7.00 ,"dark spot, dullness,uneven texture,",0.0,,
461,cleanser,https://www.sephora.com/product/the-inkey-list-fulvic-acid-cleanser-P468707?skuId=2522910&icid2=products%20grid:p468707:product,the inkey list,fulvic acid brightening cleanser,dry,$7.00 ,"dark spot, dullness,uneven texture,",0.0,,
461,cleanser,https://www.sephora.com/product/the-inkey-list-fulvic-acid-cleanser-P468707?skuId=2522910&icid2=products%20grid:p468707:product,the inkey list,fulvic acid brightening cleanser,combination,$7.00 ,"dark spot, dullness,uneven texture,",0.0,,
461,cleanser,https://www.sephora.com/product/the-inkey-list-fulvic-acid-cleanser-P468707?skuId=2522910&icid2=products%20grid:p468707:product,the inkey list,fulvic acid brightening cleanser,oily,$7.00 ,"dark spot, dullness,uneven texture,",0.0,,
462,cleanser,https://www.sephora.com/product/dermalogica-active-clay-prebiotic-cleanser-P456569?skuId=2318053&icid2=products%20grid:p456569:product,dermalogica,active clay prebiotic cleanser,normal,$45.00 ,"dryness, acne,blemishes,oiliness,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2318053-main-zoom.jpg?imwidth=175
462,cleanser,https://www.sephora.com/product/dermalogica-active-clay-prebiotic-cleanser-P456569?skuId=2318053&icid2=products%20grid:p456569:product,dermalogica,active clay prebiotic cleanser,dry,$45.00 ,"dryness, acne,blemishes,oiliness,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2318053-main-zoom.jpg?imwidth=175
462,cleanser,https://www.sephora.com/product/dermalogica-active-clay-prebiotic-cleanser-P456569?skuId=2318053&icid2=products%20grid:p456569:product,dermalogica,active clay prebiotic cleanser,combination,$45.00 ,"dryness, acne,blemishes,oiliness,",0.4082482904638631,Cleanser,https://www.sephora.com/productimages/sku/s2318053-main-zoom.jpg?imwidth=175
